donation_id,donor_id,campaign_id,amount,donation_date,payment_method,is_recurring,notes
DN0001,D0655,C002,155.64,2023-08-17,Wire Transfer,False,Emergency wildlife support
DN0002,D0090,C010,39.15,2023-08-12,Wire Transfer,False,Annual membership renewal
DN0003,D0575,C004,3655.96,2024-03-05,Wire Transfer,False,Conservation project funding
DN0004,D0829,C014,407.76,2024-12-15,PayPal,False,One-time contribution
DN0005,D0221,C013,69.05,2023-04-10,Check,False,
DN0006,D0271,C013,243.23,2023-05-08,PayPal,True,Conservation project funding
DN0007,D0850,C011,4377.68,2024-08-14,Wire Transfer,False,Annual membership renewal
DN0008,D0678,C004,4933.50,2023-08-27,Credit Card,False,Land acquisition support
DN0009,D0651,C014,200.84,2023-08-03,Check,False,Monthly donation
DN0010,D0624,C011,371.34,2023-06-17,PayPal,False,Emergency wildlife support
DN0011,D0225,C011,389.95,2023-02-27,Wire Transfer,False,Youth education program
DN0012,D0411,C005,458.74,2024-08-03,Check,False,Land acquisition support
DN0013,D0406,C015,48590.93,2023-09-29,Wire Transfer,False,Emergency wildlife support
DN0014,D0552,C005,2427.95,2024-08-20,PayPal,False,One-time contribution
DN0015,D0522,C008,47.38,2023-04-23,Wire Transfer,False,Elk research funding
DN0016,D0611,C002,308.05,2024-04-24,ACH Transfer,False,Emergency wildlife support
DN0017,D0882,C001,1015.48,2024-07-03,Check,False,Youth education program
DN0018,D0115,C005,240.52,2023-09-27,ACH Transfer,False,Emergency wildlife support
DN0019,D0935,C002,1843.00,2024-10-16,ACH Transfer,False,One-time contribution
DN0020,D0383,C013,477.91,2024-06-27,Credit Card,False,Land acquisition support
DN0021,D0020,C002,88478.58,2023-11-11,Wire Transfer,True,
DN0022,D0970,C002,255.85,2023-03-12,ACH Transfer,False,One-time contribution
DN0023,D0676,C008,20687.06,2024-06-24,ACH Transfer,False,Habitat restoration support
DN0024,D0952,C009,3604.40,2024-12-31,Check,False,Youth education program
DN0025,D0449,C015,82.48,2023-08-19,Credit Card,False,
DN0026,D0568,C004,28.42,2024-12-25,Credit Card,False,Annual membership renewal
DN0027,D0881,C006,138.05,2024-11-16,PayPal,False,One-time contribution
DN0028,D0741,C015,3092.95,2023-09-06,PayPal,False,Habitat restoration support
DN0029,D0097,C002,2094.34,2024-02-25,PayPal,False,Annual membership renewal
DN0030,D0690,C011,14349.70,2024-02-17,Check,False,Monthly donation
DN0031,D0255,C004,238.09,2024-03-08,Wire Transfer,False,Habitat restoration support
DN0032,D0896,C015,408.81,2024-07-17,Credit Card,True,Emergency wildlife support
DN0033,D0857,C001,93004.86,2023-08-31,Wire Transfer,False,Land acquisition support
DN0034,D0219,C014,52.85,2024-01-24,Credit Card,False,Conservation project funding
DN0035,D0949,C013,1783.62,2024-12-14,ACH Transfer,False,Land acquisition support
DN0036,D0159,C004,485.14,2024-08-16,ACH Transfer,True,Youth education program
DN0037,D0059,C001,263.85,2024-06-27,Wire Transfer,True,Emergency wildlife support
DN0038,D0083,C014,307.64,2024-11-22,Wire Transfer,False,
DN0039,D0253,C010,319.21,2024-03-05,ACH Transfer,False,Youth education program
DN0040,D0958,C005,365.19,2023-09-02,Check,False,Conservation project funding
DN0041,D0469,C006,93894.76,2023-01-10,PayPal,False,
DN0042,D0103,C002,265.30,2023-05-16,Check,False,Habitat restoration support
DN0043,D0379,C005,421.03,2024-12-21,Check,False,Emergency wildlife support
DN0044,D0009,C011,1847.20,2024-11-10,Credit Card,False,One-time contribution
DN0045,D0271,C002,3840.88,2023-06-09,Check,False,Habitat restoration support
DN0046,D0735,C006,326.26,2023-09-28,ACH Transfer,False,Annual membership renewal
DN0047,D0095,C011,156.42,2023-01-04,Check,False,Conservation project funding
DN0048,D0166,C012,360.19,2024-07-28,Credit Card,True,One-time contribution
DN0049,D0559,C001,3121.29,2023-06-01,PayPal,True,Conservation project funding
DN0050,D0374,C015,97358.65,2023-02-10,Check,False,Habitat restoration support
DN0051,D0683,C002,290.94,2024-02-21,ACH Transfer,False,Habitat restoration support
DN0052,D0886,C003,82023.31,2024-02-27,Credit Card,True,Youth education program
DN0053,D0802,C015,343.21,2023-09-12,Check,True,Monthly donation
DN0054,D0392,C014,248.58,2023-07-24,PayPal,False,Habitat restoration support
